Simplified,Chapter,Pinyin,Category,Meaning
挂失,25,guàshī,VO,report the loss of something
换,15,huàn,V,exchange; change
掉,25,diào,V,drop; fall
排,15,pái,V,arrange; put in order
排,22,pái,N,line; row
排队,15,páiduì,VO,form a line; queue up
接,24,jiē,V,pick up (someone)
揍,20,zòu,V,play a musical instrument
提,21,tí,V,lift
提,23,tí,V,put forward; raise
提高,21,tígāo,V,improve; increase
撞,25,zhuàng,V,knock; collide
支,10,zhī,M,stick-like objects like pens
收,24,shōu,V,accept; receive
收入,24,shōurù,N,income; earnings
收票员,18,shòupiàoyuán,N,ticket seller; conductor
放,25,fàng,V,put; place
放假,23,fàngjià,VO,have a holiday or vacation
放心,18,fàngxīn,VO,set one's mind at rest; be at ease; feel relieved
故事,22,gùshi,N,story; tale
教,7,jiāo,V,to teach
教书,23,jiāoshū,VO,teach
教授,7,jiàoshòu,N,professor
教练,21,jiàoliàn,N,coach
教育,19,jiàoyù,V,teach; educate
教育,7,jiàoyù,N,education
散,26,sàn,V,break up; disperse
散步,13,sànbù,VO,take a walk; walk
数,15,shǔ,V,count
数学,7,shùxué,N,mathematics
整理,14,zhěnglǐ,V,put in order; arrange; sort out
文化,24,wénhuà,N,culture; education; literacy
文学,7,wénxué,N,literature
文章,20,wénzhāng,N,essay; article
料子,17,liàozi,N,material for making clothing
斤,10,jīn,M,half kilogram
新,13,xīn,A,new
新实用汉语课本,16,xīn shíyòng hànyǔ kèběn,PN,New Practical Chinese Reader
新年,20,xīnnián,N,new year
方便,13,fāngbiàn,A,convenient
方法,26,fāngfǎ,N,method
旁边,20,pángbiān,N,side
旅行,14,lǚxíng,V,travel
旗袍,17,qípáo,N,cheongsam; long formal dress with a slit skirt
日记,14,rìjì,N,diary
旧,18,jiù,A,old; past; used
早,15,zǎo,A,early
时候,6,shíhou,N,time; moment
时间,6,shíjiān,N,time
明信片,15,míngxìnpiàn,N,postcard
明天,6,míngtiān,N,tomorrow
明年,26,míngnián,N,next year
星期,9,xīngqī,N,week
星期日,9,xīngqīrì,N,Sunday
春,20,chūn,N,spring
春天,23,chūntiān,N,spring (season)
春江花月夜,20,chūnjiānghuā yuèyè,PN,"(a famous, traditional Chinese music composition)"
春节,14,chūn jié,N,Spring Festival
昨天,6,zuótiān,N,yesterday
是,3,shì,V,to be
晚,11,wǎn,A,late
晚上,11,wǎnshang,N,"evening, night"
普通话,15,pǔtōnghuà,N,common speech; Mandarin Chinese
景,23,jǐng,N,view; scene
景色,23,jǐngsè,N,scene; scenery; landscape
晴,14,qíng,A,sunny
晴天,23,qíngtiān,N,sunny sky
暖和,24,nuǎnhuo,A,warm
曲,20,qǔ,N,tune; melody
最,20,zuì,Adv,the most
月,20,yuè,N,moon
有,6,yǒu,V,to have
有名,10,yǒumíng,A,famous
有意思,6,yǒu yìsi,IE,interesting
有点儿,12,yǒudiǎnr,Adv,somewhat; rather; a bit
有的,22,yǒude,Pr,some
朋友,2,péngyou,N,friend
期,16,qī,N,period of time
本,10,běn,M,books and notebooks
本子,10,běnzi,N,notebook
机,23,jī,N,machine
机场,24,jīchǎng,N,airport
杂志,16,zázhì,N,magazine
材料,19,cáiliào,N,material
村,24,cūn,N,village
束,25,shù,M,bunch (of flowers)
条,23,tiáo,M,"strip; long narrow piece; (measure word for rivers, dragons, pants, fish)"
来,4,lái,V,to come
杨,4,yáng,PN,(a surname)
杭州,21,hángzhōu,PN,Hangzhou
杯,10,bēi,M,cups of things
极了,17,jí(le),Adv,extremely
林娜,1,lín nà,PN,(name of a British student)
林黛玉,22,lín dàiyù,PN,(name of the lead female character in Dream of the Red Chamber)
查,16,chá,V,check; look up
树,23,shù,N,tree
样,19,yàng,M,type; the likes of
样子,17,yàngzi,N,shape; sample; model; pattern
桌子,25,zhuōzi,N,table; desk
梁祝,10,liáng zhù,PN,name of a Chinese violin concerto
梦,22,mèng,N,dream
检查,25,jiǎnchá,V,examine
棵,23,kē,M,"(measure word for trees, plants)"
楼,14,lóu,N,building
次,15,cì,M,(measure word for actions)
欧元,15,ōuyuán,N,Euro
欧洲,14,ōuzhōu,PN,Europe
款,16,kuǎn,N,sum of money
正在,24,zhèngzài,Adv,in the process of; in the middle of; (key word of a progressive construction)
正常,24,zhèngcháng,A,normal; regular
正式,20,zhèngshì,A,formal
步,13,bù,N,step
死,22,sǐ,V,die
每,12,měi,Pr,every; each
比,17,bǐ,Prep,than (indicating comparison)
比赛,21,bǐsài,N,match/compete; have a match
毕业,26,bìyè,VO,finish school; graduate
毛(钱),10,máo(qián),M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
民乐,20,mínyuè,N,folk music played with traditional instruments
民族,20,mínzú,N,nation; nationality
气温,23,qìwēn,N,air temperature
水,12,shuǐ,N,water
水平,21,shuǐpíng,N,level
水电费,13,shuǐdiànfèi,N,utility bill or fee
汇率,15,huìlǜ,N,exchange rate
汉堡,9,hànbǎo,N,hamburger
汉字,11,hànzì,N,Chinese character
汉语,4,hànyǔ,N,Chinese (language)
江,20,jiāng,N,river
汽车,18,qìchē,N,automobile; motor vehicle; car
没,8,méi,Adv,not
没关系,5,méi guānxi,IE,never mind; it doesn't matter
油,19,yóu,N,oil
油彩,19,yóucǎi,N,greasepaint
油画,19,yóuhuà,N,oil painting
注意,25,zhùyì,V,pay attention to
泰山,23,tàishān,PN,Taishan Mountain; Mount Tai
洗,14,xǐ,V,wash
派出所,25,pàichūsuǒ,N,police substation
流利,15,liúlì,A,fluent
海,18,hǎi,N,sea; big lake
海关,18,hǎiguān,N,customhouse; customs
海南岛,23,hǎinán dǎo,PN,Hainan Island
海运,18,hǎiyùn,N,sea transporation; ocean shipping; ocean freight
消息,25,xiāoxi,N,news
涮,20,shuàn,V,cook thin slices of meat in boiling water
涮羊肉,20,shuànyángròu,N,thin slices of mutton boiled in water
添,20,tiān,V,add
温,24,wēn,A,warm
温室,24,wēnshì,N,greenhouse
渴,23,kě,A,thirsty
游,19,yóu,V,swim
游,23,yóu,V,travel
游泳,6,yóuyǒng,V,to swim
漂亮,9,piàoliang,A,"pretty, beautiful; nice"
演,22,yǎn,V,act; perform; play
演员,22,yǎnyuán,N,actor; actress; performer
演奏,20,yǎnzòu,V,give an instrumental performance
火,20,huǒ,N,fire; heat
火车,20,huǒchē,N,train
火锅,20,huǒguō,N,hotpot
点(钟),11,diǎn(zhōng),M,o'clock
点儿,11,(yì)diǎnr,Nu-M,a little bit
烤鸭,9,kǎoyā,N,roast duck
烧,12,shāo,V,burn
热,20,rè,A,hot
热心,13,rèxīn,A,enthusiastic
热情,26,rèqíng,A,warm; warmhearted; enthusiastic
热狗,9,règǒu,N,hotdog
热闹,16,rènao,A,lively; bustling with noise and excitement
然后,18,ránhòu,Adv,then
照片,8,zhàopiàn,N,"picture, photo"
照相,20,zhàoxiàng,VO,take a picture; to photograph
照相机,20,zhàoxiàngjī,N,camera
熊,23,xióng,N,bear
熟悉,26,shúxī,V,be familiar with
爬,23,pá,V,climb
爱,8,ài,V,love
爱人,24,àiren,N,husband; wife; spouse; lover
爱好,19,àihào,N,hobby/to like
爱情,22,àiqíng,N,love
爷爷,8,yéye,N,paternal grandfather
爸爸,2,bàba,N,dad
牙,12,yá,N,tooth
牛奶,9,niúnǎi,N,milk
物理,7,wùlǐ,N,physics
特别,22,tèbié,Adv,extraordinary; especially; particularly
特点,26,tèdiǎn,N,characteristic; feature
狗,8,gǒu,N,dog
王小云,5,wáng xiǎoyún,PN,(name of a Chinese student)
王府井,15,wángfǔjǐng,PN,(name of a famous commercial district in Beijing)
玩儿,11,wánr,V,"have fun, play"
现在,6,xiànzài,N,now
现金,15,xiànjīn,N,cash
球,6,qiú,N,ball
瓶,9,píng,M,bottle
生,14,shēng,A,new
生,9,shēng,V,be born
生日,9,shēngrì,N,birthday
生气,19,shēngqì,VO,get angry; take offense
生活,12,shēnghuó,N,life
生活,16,shēnghuó,V,live/life
生火,24,shēnghuǒ,VO,make a fire
生词,14,shēngcí,N,new word
用,15,yòng,V,use
电,16,diàn,N,electricity
电影,13,diànyǐng,N,movie
电影院,21,diànyǐngyuàn,N,movie theater; cinema
电梯,19,diàntī,N,elevator
电脑,8,diànnǎo,N,computer
电视,25,diànshì,N,television
电话,13,diànhuà,N,telephone; phone call
男,2,nán,A,male
画,19,huà,V,to paint
画儿,19,huàr,N,painting
画家,19,huàjiā,N,painter; artist
留学生,14,liúxuéshēng,N,student studying abroad; international student
疼,12,téng,A,painful
病,12,bìng,N,illness/get sick
瘦,19,shòu,A,thin
白,17,bái,A,white
百,,bǎi,Num,hundred
百,8,bǎi,Num,hundred
的,4,de,Pt,(a possessive or modifying particle)
盖,24,gài,V,build
目录,16,mùlù,N,catalogue; list
相声,17,xiàngshēng,N,comic dialogue; repartee
相爱,22,xiāng'ài,V,fall in love
看,7,kàn,V,to watch; to look at
看病,12,kànbìng,VO,see a doctor
真,8,zhēn,A,real/really
着,25,zhe,Pt,(indicating the continuous aspect)
着急,20,zháojí,VO,feel anxious/anxious
睡,11,shuì,V,sleep
睡觉,11,shuìjiào,VO,sleep
知道,5,zhīdào,V,to know
短,17,duǎn,A,short
研究,22,yánjiū,V,study; discuss; consider
礼物,11,lǐwù,N,gift; present
祝,9,zhù,V,wish
祝贺,9,zhùhè,V,congratulate
票,18,piào,N,ticket
离,21,lí,Prep,away; off; from
离开,22,líkāi,V,leave; depart from
秋天,23,qiūtiān,N,autumn; fall
种,22,zhǒng,M,kind; sort; type
种,24,zhòng,V,grow; to plant
种类,22,zhǒnglèi,N,kind; sort; type; variety
租,13,zū,V,rent
空,18,kōng,N,sky; air
空白,19,kòngbái,N,blank space
穿,12,chuān,V,wear
突然,25,tūrán,A,sudden; suddenly
站,18,zhàn,N,station; stop
站,23,zhàn,V,stand
站岗,24,zhàngǎng,VO,stand guard
笑,25,xiào,V,laugh; smile
笔,10,bǐ,N,pen
第,25,dì,Pref,(indicates ordinal numbers)
等,13,děng,V,wait
管,19,guǎn,V,to discipline
管理,24,guǎnlǐ,V,manage; administer
箱子,24,xiāngzi,N,box; case; trunk
篇,20,piān,M,(measure word for essays and articles)
米,21,mǐ,M,meter
米饭,9,mǐfàn,N,cooked rice
糕,9,gāo,N,cake
糟糕,18,zāogāo,A,in a wretched state; in a mess; too bad
系,7,xì,N,faculty; department
系主任,8,xìzhǔrèn,N,department chairman
累,23,lèi,A,tired
红,9,hóng,A,red
红楼梦,22,hónglóu méng,PN,Dream of the Red Chamber
红葡萄酒,9,hóngpútaojiǔ,N,red wine
纪念,18,jìniàn,N,commemorate
纸,19,zhǐ,N,paper
练,14,liàn,V,practice
练习,14,liànxí,V,practice/exercise
经济,7,jīngjì,N,economy
经理,13,jīnglǐ,N,manager
经过,18,jīngguò,V,to pass; to go through
经验,26,jīngyàn,N,experience
结业,26,jiéyè,VO,complete a course
结婚,22,jiéhūn,VO,get married
结果,25,jiéguǒ,N,result; outcome
给,10,gěi,V,give
给,12,gěi,Prep,to; for
续借,16,xùjiè,V,renew
绿,17,lǜ,A,green
罚,16,fá,V,punish; penalize
罚款,16,fákuǎn,VO,impose a fine or forfeit/fine
羊,20,yáng,N,sheep
美,7,měi,A,beautiful
美元,15,měiyuán,N,U.S. dollar
美国,4,měiguó,PN,the United States; America
美术,7,měishù,N,fine arts
美术馆,19,měishùguǎn,N,art gallery
翻译,16,fānyì,V,translate; interpret
老,19,lǎo,A,old; experienced
老人,16,lǎorén,N,the elderly; the aged; old man or woman
老外,26,lǎowài,N,foreigner
老师,3,lǎoshī,N,teacher
考,16,kǎo,V,give or take an exam; to test
考试,16,kǎoshì,V,give or take an exam/exam
而且,24,érqiě,Conj,but also; and also
聊,26,liáo,V,chat
职业,16,zhíyè,N,occupation; profession
聚会,9,jùhuì,N,get-together; party
聪明,22,cōngming,A,clever; bright
肉,20,ròu,N,meat
肚子,12,dùzi,N,abdomen; stomach
胳膊,25,gēbo,N,arm
能,11,néng,OpV,can; be able to
脏,14,zāng,A,dirty
脑,16,nǎo,N,brain
脚,20,jiǎo,N,foot
腿,25,tuǐ,N,leg
自己,16,zìjǐ,Pr,oneself
自行车,19,zìxíngchē,N,bicycle
舅妈,24,jiùmā,N,aunt (wife of mother's brother)
舅舅,24,jiùjiu,N,uncle (mother's brother)
舒服,12,shūfu,A,comfortable
航空,18,hángkōng,N,aviation
色,23,sè,N,scene
艺术,26,yìshù,N,art
节,14,jié,N,festival
节目,19,jiémù,N,program
花儿,20,huā(r),N,flower
花园,21,huāyuán,N,garden
花园小区,21,huāyuán xiǎoqū,N,garden district
苏州,21,sūzhōu,PN,Suzhou
苏杭,21,sū háng,PN,Suzhou and Hangzhou
英国,4,yīngguó,PN,Great Britain; England
英文,12,yīngwén,N,English (language)
英语,11,yīngyǔ,N,English (language)
英镑,15,yīngbàng,N,pound sterling
苹果,10,píngguǒ,N,apple
茶,9,chá,N,tea
茶楼,16,chálóu,N,tearooms; tea house
药,12,yào,N,medicine
菜,24,cài,N,food; dish; vegetable
菜单,23,càidān,N,menu
葡萄,9,pútao,N,grape
蔬菜,24,shūcài,N,vegetable
薄,17,báo,A,thin
虽然,22,suīrán,Conj,although; though
虾,19,xiā,N,shrimp
蛇,20,shé,N,snake
蛋,9,dàn,N,egg
蛋糕,9,dàngāo,N,cake
血,12,xiě,N,blood
行,23,xíng,V,to be O.K.
行李,24,xíngli,N,baggage; luggage
衣服,12,yīfu,N,clothes
补,25,bǔ,V,mend
表,11,biǎo,N,wrist watch
表,16,biǎo,N,form; table; list
衬衫,17,chènshān,N,shirt
被,25,bèi,Prep,by (indicates passive voice)
装,23,zhuāng,V,pretend to be something or someone
裤子,17,kùzi,N,trousers; pants
西,20,xī,N,west
西安,15,xī'ān,PN,(name of the capital of Shaanxi Province)
西方,20,xīfāng,N,western; the West
西服,17,xīfú,N,western-style clothes; suit
西药,12,xīyào,N,Western medicine
西边,22,xībian,N,west side
西餐,9,xīcān,N,Western food
要,12,yào,OpV,must; surely
要,2,yào,V,to want
见,22,jiàn,V,see; meet with
见面,26,jiànmiàn,VO,meet; see
观点,19,guāndiǎn,N,opinion
视,25,shì,V,look at
觉得,17,juéde,V,feel; think
角色,22,juésè,N,character; role
警察,25,jǐngchá,N,policeman
警车,25,jǐngchē,N,police car; police van
认真,26,rènzhēn,A,earnest; serious
认识,4,rènshi,V,to know (somebody)
让,13,ràng,V,let; allow; make
记,18,jì,V,remember; bear in mind
记得,26,jìde,V,remember; retain
记者,4,jìzhě,N,reporter
设计,21,shèjì,V,design
访问,22,fǎngwèn,V,visit; call on
证,16,zhèng,N,certificate; card
词,14,cí,N,word
词典,8,cídiǎn,N,dictionary
试,17,shì,V,try on; have a try
诗,22,shī,N,poem; poetry
诗人,21,shīrén,N,poet
话,15,huà,N,dialect; language
该,11,gāi,OpV,should; ought to
该,15,gāi,V,to be somone's turn to do something
语,8,yǔ,N,language
语法,14,yǔfǎ,N,grammar
语言,4,yǔyán,N,language
说,6,shuō,V,to say; to speak
请,4,qǐng,V,please
请客,26,qǐngkè,VO,feast; treat someone to a meal
请问,4,qǐngwèn,V,May I ask...?
课,9,kè,N,"class, lesson"
课文,14,kèwén,N,text
课本,16,kèběn,N,textbook
谁,3,shéi,QPr,who; whom
谢谢,5,xièxie,V,to thank
贝贝,8,bèibei,PN,name of a dog
货,17,huò,N,goods
贴,18,tiē,V,to stick; to paste
贵,10,guì,A,expensive; precious
贵姓,4,guìxìng,IE,What's your honorable surname?
费,18,fèi,N,fee; expenses; charge
贾宝玉,22,jiǎ bǎoyù,PN,(name of the lead male character in Dream of the Red Chamber)
赛,21,sài,N,race; match/compete; race
赢,21,yíng,V,win
走,17,zǒu,V,walk; go
起,11,qǐ,V,"get up, rise"
起床,11,qǐchuáng,VO,get up
起飞,23,qǐfēi,V,take off (flying)
越剧,22,yuèjù,N,Shaoxing opera
越来越,26,yuèláiyuè,IE,more and more
足,20,zú,N,foot
足球,21,zúqiú,N,soccer
足球场,21,zúqiúchǎng,N,soccer field
跑,19,pǎo,V,run
跑步,19,pǎobù,VO,run; jog
跟,10,gēn,Prep,with/follow
路,18,lù,N,route
路,24,lù,N,road; way
路上,20,lùshang,VO,on the road; on the way
跳舞,11,tiàowǔ,VO,dance
踢,21,tī,V,kick
身,12,shēn,N,body
身体,12,shēntǐ,N,"body, health"
躺,25,tǎng,V,lie down
车,8,chē,N,car; vehicle
车站,21,chēzhàn,N,bus stop
轻,15,qīng,A,light; small
辆,20,liàng,M,(measure word for vehicles)
输,21,shū,V,lose
辛苦,24,xīnkǔ,A,work hard; laborious
过,14,guò,V,spend (time); celebrate (a birthday or holiday)
过,16,guò,V,pass
过,22,guo,AsPt,(indicating a past experience)
过去,17,guòqù,V,to pass
过去,20,guòqù,N,in or of the past
过期,16,guòqī,VO,be overdue
还,11,hái,Adv,still
还,16,huán,V,give back; return
还,8,hái,Adv,in addition
还是,12,háishi,Conj,or
这,3,zhè,Pr,this
这么,22,zhème,Pr,so; such; like this
这儿,5,zhèr,Pr,here
进,4,jìn,V,to enter
进来,4,jìnlai,VC,to come in
进步,26,jìnbù,N,progress; advancement/make progress
远,19,yuǎn,A,far
送,10,sòng,V,give as a gift
送,25,sòng,V,take someone somewhere; see someone off
选修,7,xuǎnxiū,V,take an elective course
通知,18,tōngzhī,V,notify; inform/notification
通知单,18,tōngzhīdān,N,advice note; letter of notice
遍,6,biàn,M,number of times (of action)
那,3,nà,Pr,that
那儿,10,nàr,Pr,there
那样,26,nàyàng,Pr,such; so; like that
邮,14,yóu,V,"post, mail"
邮局,14,yóujú,N,post office
邮票,18,yóupiào,N,stamp
邮费,18,yóufèi,N,postage
郊区,20,jiāoqū,N,suburb; outskirts
部,22,bù,M,"(measure word for films, works of literature)"
都,2,dōu,Adv,both; all
酒,9,jiǔ,N,"wine, liquor"
里边,18,lǐ(bian),N,in; inside; within
重,25,zhòng,A,serious; heavy
钢琴,19,gāngqín,N,piano
钥匙,16,yàoshi,N,key
钱,10,qián,N,money
银行,15,yínháng,N,bank
锅,20,guō,N,pot; pan
错,18,cuò,A,wrong; erroneous
锻炼,12,duànliàn,V,do physical exercise
长,16,cháng,A,long
长城,23,chángchéng,PN,the Great Wall
长安大戏院,22,cháng'ān dà xìyuàn,PN,Chang'an Theater
门,18,mén,N,door; gate; entrance
问,7,wèn,V,to ask
问答,16,wèndá,N,questions and answers
问路,24,wènlù,VO,ask directions to get somewhere
问题,11,wèntí,N,question
间,13,jiān,M,"measure word for rooms, houses"
阅览室,16,yuèlǎnshì,N,reading room
队,15,duì,N,row of people; line
队,21,duì,N,team
队员,21,duìyuán,N,team member
阳台,21,yángtái,N,balcony
阴天,23,yīntiān,N,cloudy sky; overcast sky
陆雨平,1,lù yǔpíng,PN,(name of a Chinese reporter)
陈,3,chén,PN,(a surname)
陪,26,péi,V,to accompany
难,22,nán,A,difficult; hard
雨,24,yǔ,N,rain
雪,23,xuě,N,snow
雪碧,9,xuěbì,N,Sprite
零,5,líng,Num,zero
零下,23,língxià,N,below zero
非常,15,fēicháng,Adv,very; extremely; highly
面,9,miàn,N,noodles
面包,9,miànbāo,N,bread
鞋子,17,xié(zi),N,shoes
音乐,7,yīnyuè,N,music
音乐会,20,yīnyuèhuì,N,concert
音乐厅,20,yīnyuètīng,N,concert hall
页,17,yè,M,page
顶,23,dǐng,N,peak; tip; top
项链,25,xiàngliàn,N,necklace
顿,22,dùn,M,(measure word for meals)
预定,16,yùdìng,V,to reserve; to book
颜色,17,yánsè,N,color
风,19,fēng,N,wind
风格,22,fēnggé,N,style; manner
飞,23,fēi,V,fly
飞机,23,fēijī,N,airplane
餐厅,5,cāntīng,N,dining room
饭,13,fàn,N,meal
饭馆,20,fànguǎn,N,restaurant
饿,26,è,A,hungry
馆,16,guǎn,N,shop; place for cultural activities
香蕉,10,xiāngjiāo,N,banana
香蕉苹果,10,xiāngjiāopíngguǒ,N,a kind of apple that tastes like a banana
马上,25,mǎshàng,Adv,right away; immediately
马大为,7,mǎ dàwéi,PN,(name of an American student)
马虎,19,mǎhu,A,careless
马马虎虎,19,mǎmǎhūhū,A,so-so; careless
骑,19,qí,V,to ride (a horse or bike); to sit on the back of
骗,22,piàn,V,cheat; trick
高,7,gāo,A,high; tall
高兴,4,gāoxìng,A,happy; pleased
鸭,9,yā,N,duck
麻烦,17,máfan,V,bother someone; trouble someone
黑,17,hēi,A,black
齐白石,19,qí báishí,PN,(name of a well-known Chinese painter)
龙,23,lóng,N,dragon
，,,,Punct,comma
、,,,Punct,enumeration comma
·,,,Punct,name separating mark
「,,,Punct,quotation marks
」,,,Punct,quotation marks
﹁,,,Punct,quotation marks
﹂,,,Punct,quotation marks
“,,,Punct,quotation marks
”,,,Punct,quotation marks
《,,,Punct,title opening brackets
》,,,Punct,title closing brackets
〈,,,Punct,title opening brackets
〉,,,Punct,title closing brackets
…,,,Punct,elipsis dots
。,,,Punct,full stop
-,,,Punct,hyphen
：,,,Punct,colon
；,,,Punct,semicolon
",",,,Punct,comma
.,,,Punct,period
:,,,Punct,colon
？,,,Punct,question mark
！,,,Punct,exclaimation mark
—,,,Punct,em-dash
＞,,,Punct,idk what is this
＜,,,Punct,idk what is this
｝,,,Punct,closing curly brackets
｛,,,Punct,opening curly brackets
］,,,Punct,closing square brackets
［,,,Punct,opening square brackets
‘,,,Punct,quotation marks
’,,,Punct,quotation marks
～,,,Punct,em-tilde
＾,,,Punct,carot
｜,,,Punct,pipe
\,,,Punct,backslash
1,,,Num,one
2,,,Num,two
3,,,Num,three
4,,,Num,four
5,,,Num,five
6,,,Num,six
7,,,Num,seven
8,,,Num,eight
9,,,Num,nine
0,,,Num,zero
*,,,Punct,asterisk
％,,,Punct,percentage sign
/,,,Punct,shash
+,,,Punct,plus
=,,,Punct,equals
）,,,Punct,closing brackets
（,,,Punct,opening brackets
@,,,Punct,at sign
＃,,,Punct,hash; pound
£,,,Punct,pound
＆,,,Punct,and
_,,,Punct,underscore
